Internal key	English source	Translation	Placeholders
$Whereabouts_VirtualKeyboardPrompt	Whereabouts Virtual Keyboard		
$Whereabouts_NonUniqueHelp	Non-unique NPC. Commands use this exact reference FormID.		
$Whereabouts_Pending	Pending		
$Whereabouts_PendingHelp	Verifies after Skyrim resumes.		
$Whereabouts_DynamicUnavailable	Dynamic / unavailable		
$Whereabouts_ChooseCopyHelp	Choose which ID to copy.		
$Whereabouts_Track	Track		
$Whereabouts_Untrack	Untrack		
$Whereabouts_Enable	Enable		
$Whereabouts_Disable	Disable		
$Whereabouts_AddFavorite	Add Favorite		
$Whereabouts_RemoveFavorite	Remove Favorite		
$Whereabouts_CommandsBlockedHelp	Commands are unavailable because Prepare for Uninstall has cleared this save's Whereabouts state.		
$Whereabouts_RemoveMarkerHelp	Removes this map and compass marker.		
$Whereabouts_AddMarkerHelp	Adds a map and compass marker.		
$Whereabouts_ConsoleHelp	Opens the console with this NPC selected.		
$Whereabouts_EnableDisableHelp	Changes this NPC's enabled state and verifies the result.		
$Whereabouts_Label	Label		
$Whereabouts_Value	Value		
$Whereabouts_Source	Source		
$Whereabouts_Reference	Reference		
$Whereabouts_BaseNpc	Base NPC		
$Whereabouts_ReferenceEditorId	Reference EditorID		
$Whereabouts_BaseEditorId	Base EditorID		
$Whereabouts_Race	Race		
$Whereabouts_Sex	Sex		
$Whereabouts_Male	Male		
$Whereabouts_Female	Female		
$Whereabouts_Unknown	Unknown		
$Whereabouts_Unavailable	Unavailable		
$Whereabouts_NpcNoLongerAvailable	NPC is no longer available		
$Whereabouts_UnknownCommand	Unknown command		
$Whereabouts_Dynamic	Dynamic		
$Whereabouts_Essential	Essential		
$Whereabouts_Protected	Protected		
$Whereabouts_RaceFilterHelp	Select an observed NPC race.		
$Whereabouts_KnownFlagFilterHelp	No means the flag is known to be absent.		
$Whereabouts_Area	Area		
$Whereabouts_LocationData	Location data		
$Whereabouts_SpatialFreshnessFilterHelp	Current is loaded; Last observed is unloaded.		
$Whereabouts_WorldspaceFilterHelp	Interior cells normally have no worldspace.		
$Whereabouts_None	None		
$Whereabouts_Flags	Flags		
$Whereabouts_State	State		
$Whereabouts_Active	Active		
$Whereabouts_NotTracked	Not tracked		
$Whereabouts_LocationRecord	Location record		
$Whereabouts_Cell	Cell		
$Whereabouts_CellRecord	Cell record		
$Whereabouts_Worldspace	Worldspace		
$Whereabouts_WorldspaceRecord	Worldspace record		
$Whereabouts_ExteriorGrid	Exterior grid		
$Whereabouts_Position	Position		
$Whereabouts_LastObservedUnloaded	Last observed; NPC is currently unloaded		
$Whereabouts_DifferentUnknownSpace	Different or unknown space		
$Whereabouts_ConfirmCommandPrompt	Confirm Whereabouts command		
$Whereabouts_TrackingWarningPrompt	Whereabouts tracking warning		
$Whereabouts_UninstallPrompt	Prepare Whereabouts for uninstall?		
$Whereabouts_TrackingWarningBody	Tracking stores quest-marker data in your save. Before uninstalling Whereabouts, untrack all NPCs or use Settings > Prepare for Uninstall, then make a new save and exit Skyrim.		
$Whereabouts_UninstallBody	Untracks every NPC, clears marker objectives and saved Whereabouts lists, and shuts down tracking. After cleanup finishes, make a new manual save, quit Skyrim completely, then uninstall. NPCs previously moved or enabled/disabled are not restored.		
$Whereabouts_PluginMissing	Plugin missing		
$Whereabouts_NpcUnavailable	NPC unavailable		
$Whereabouts_Travel	Travel		
$Whereabouts_Bring	Bring		
$Whereabouts_Inventory	Inventory		
$Whereabouts_EnableDisable	Enable / Disable		
$Whereabouts_SelectConsole	Select in Console		
$Whereabouts_Command	Command		
$Whereabouts_Console	Console		
$Whereabouts_Crosshair	Crosshair		
$Whereabouts_DeadBodyPresent	Dead; body present		
$Whereabouts_UnknownStatus	Unknown status		
$Whereabouts_IndexStartFailure	Search index could not start. Use Refresh Search Index in Settings.		
$Whereabouts_FormsNotReady	Game forms are not ready. Use Refresh Search Index in Settings.		
$Whereabouts_IndexRefreshFailure	Search index refresh failed. Use Refresh Search Index in Settings.		
$Whereabouts_IndexUnavailable	Search index is unavailable. Use Refresh Search Index in Settings.		
$Whereabouts_NoConsoleNpc	No valid NPC reference is selected in the console.		
$Whereabouts_NoCrosshairNpc	No valid NPC reference is under the crosshair.		
$Whereabouts_SessionNotReady	The current game session is not ready.		
$Whereabouts_SelectionCleared	Selection cleared.		
$Whereabouts_CommandsBlocked	Whereabouts commands are blocked after uninstall cleanup.		
$Whereabouts_PendingOtherNpc	Finish the pending Enable/Disable request before changing another NPC.		
$Whereabouts_ReviewTrackingWarning	Review the tracking save-data warning.		
$Whereabouts_CommandCancelled	Command cancelled.		
$Whereabouts_TrackingCancelled	Tracking cancelled.		
$Whereabouts_CommandQueued	Command queued.		
$Whereabouts_NpcGone	NPC is no longer available.		
$Whereabouts_SessionEnded	The current game session ended before state confirmation.		
$Whereabouts_NoIdAvailable	No ID is available for this NPC.		
$Whereabouts_DeadNotMoved	Dead NPCs are not moved or resurrected		
$Whereabouts_LoadedForInventory	NPC must be loaded to open inventory		
$Whereabouts_TrackingFull	All 100 tracking slots are in use		
$Whereabouts_DynamicFavorite	Dynamic NPCs cannot be saved as favorites		
$Whereabouts_DifferentInteriorConfirm	NPC is in a different interior cell; confirm teleport		
$Whereabouts_DifferentWorldConfirm	NPC is in a different worldspace; confirm teleport		
$Whereabouts_UnknownLocationConfirm	NPC location relationship is unknown; confirm teleport		
$Whereabouts_DisabledConfirmMove	NPC is disabled; confirm enabling before moving		
$Whereabouts_ProtectedMoveConfirm	NPC is essential or protected; moving may disrupt quests		
$Whereabouts_ProtectedDisableConfirm	NPC is essential or protected; disabling may disrupt quests		
$Whereabouts_ConfirmDisabling	Confirm disabling this NPC		
$Whereabouts_InteriorCell	Interior cell		
$Whereabouts_ExteriorCell	Exterior cell		
$Whereabouts_LocationUnavailable	Location unavailable		
$Whereabouts_Interior	Interior		
$Whereabouts_Exterior	Exterior		
$Whereabouts_Actor	Actor		
